samples_per_symbol,normalized_cfo,estimated_normalized_cfo,absolute_error,honest
2,0.46,-0.04003454677343015,0.5000345467734302,False
2,0.47,-0.030012560187814345,0.5000125601878144,False
2,0.48,-0.019987389021098784,0.49998738902109874,False
2,0.49,-0.00999317837177547,0.4999931783717755,False
2,0.5,-2.5648279678313436e-05,0.5000256482796783,False
2,0.51,0.009987905524657243,0.5000120944753428,False
2,0.52,0.019986243034844843,0.5000137569651552,False
2,0.53,0.030001220779488403,0.4999987792205116,False
2,0.54,0.04003072092769239,0.49996927907230765,False
2,0.55,0.05000845804803964,0.4999915419519604,False
2,0.56,0.060021473844490594,0.4999785261555095,False
2,0.57,0.06998632882303962,0.5000136711769603,False
2,0.58,0.0799762525567879,0.5000237474432121,False
2,0.59,0.09001916265013313,0.49998083734986687,False
2,0.6,0.09998310237727985,0.5000168976227202,False
2,0.61,0.10999021411532298,0.500009785884677,False
2,0.62,0.11996744755618291,0.5000325524438171,False
2,0.63,0.1300297902770755,0.4999702097229245,False
2,0.64,0.1399997001350512,0.5000002998649489,False
2,0.65,0.14999929496294231,0.5000007050370577,False
4,0.0,-2.444622142722056e-05,2.444622142722056e-05,True
4,0.01,0.010011732793487478,1.1732793487477522e-05,True
4,0.02,0.020009237887437872,9.237887437871933e-06,True
4,0.03,0.030034385965958216,3.438596595821755e-05,True
4,0.04,0.03999500947248352,4.990527516478271e-06,True
4,0.05,0.0499990845837453,9.154162547014844e-07,True
4,0.06,0.05998906446949693,1.0935530503068669e-05,True
4,0.07,0.06998134846384652,1.8651536153491133e-05,True
4,0.08,0.08001229501149817,1.2295011498172914e-05,True
4,0.09,0.09003303147724584,3.303147724584288e-05,True
4,0.1,0.10000809825546401,8.098255464009108e-06,True
4,0.11,0.10999945016319126,5.498368087358818e-07,True
4,0.12,0.12001964287616024,1.964287616024185e-05,True
4,0.13,0.13001006023435868,1.0060234358677533e-05,True
4,0.14,0.13997870957347847,2.1290426521547445e-05,True
4,0.15,0.15002163423052176,2.1634230521760944e-05,True
4,0.16,0.16001495622032283,1.4956220322825953e-05,True
4,0.17,0.1699788643844669,2.113561553310217e-05,True
