rolloff,normalized_cfo,fourth_power_estimate,fourth_power_absolute_error,band_edge_imbalance
0.35,0.225,0.22376033153472313,0.001239668465276872,0.09141894580480196
0.35,0.25,0.24876033153472268,0.001239668465277316,0.08848042673469649
0.35,0.275,0.2737603315347237,0.0012396684652763446,0.0875905111506838
0.35,0.3,0.29876033153472276,0.0012396684652772327,0.08933674792738959
0.35,0.325,0.32376033153472217,0.0012396684652778434,0.09428749527954021
0.35,0.35,0.3487603315347231,0.0012396684652768997,0.1028951290645666
0.35,0.375,0.373760331534722,0.0012396684652780099,0.11479553167941361
0.35,0.4,0.39876033153472173,0.0012396684652782874,0.12811418339397337
0.35,0.425,0.42376033153472276,0.0012396684652772327,0.13952012385108828
0.35,0.45,0.4487603315347237,0.001239668465276289,0.1455476472660921
0.35,0.475,0.4737603315347225,0.0012396684652774548,0.1448611805903769
0.35,0.5,0.49876033153472277,0.0012396684652772327,0.1395682686771706
0.35,0.525,-0.4762396684652778,1.0012396684652778,0.133813424759907
0.35,0.55,-0.4512396684652753,1.0012396684652753,0.13058326565390238
0.5,-0.55,0.4379830695678191,0.9879830695678191,-0.20197936277221784
0.5,-0.525,0.46298306956781876,0.9879830695678188,-0.20474012118429047
0.5,-0.5,0.48798306956781895,0.9879830695678189,-0.20711343361118117
0.5,-0.475,-0.48701693043218247,0.012016930432182493,-0.20881422594260235
0.5,-0.45,-0.4620169304321818,0.012016930432181772,-0.2117435573163741
0.5,-0.425,-0.4370169304321818,0.012016930432181827,-0.2178425081467241
0.5,-0.4,-0.4120169304321812,0.012016930432181161,-0.2267521589618191
0.5,-0.375,-0.3870169304321818,0.012016930432181827,-0.2356680526298099
0.5,-0.35,-0.362016930432182,0.01201693043218205,-0.24096626265697957
0.5,-0.325,-0.33701693043218045,0.01201693043218044,-0.24018048891010635
0.5,-0.3,-0.3120169304321823,0.012016930432182327,-0.23284070089361597
0.5,-0.275,-0.2870169304321812,0.012016930432181161,-0.2198379102402899
0.5,-0.25,-0.26201693043218127,0.012016930432181272,-0.20274816360173925
0.5,-0.225,-0.23701693043218164,0.012016930432181633,-0.18342615441545998
0.5,-0.2,-0.21201693043218134,0.012016930432181328,-0.16305648169824963
0.5,-0.175,-0.18701693043218173,0.012016930432181744,-0.14181274891641396
0.5,-0.15,-0.16201693043218188,0.012016930432181883,-0.11997058610929283
0.5,-0.125,-0.13701693043218138,0.012016930432181383,-0.09850088400485874
0.5,-0.1,-0.1120169304321814,0.012016930432181397,-0.07812477980099362
0.5,-0.075,-0.08701693043218169,0.012016930432181688,-0.05851642033961389
0.5,-0.05,-0.06201693043218144,0.012016930432181439,-0.03869548441754155
0.5,-0.025,-0.03701693043218146,0.01201693043218146,-0.017880255864997356
0.5,0.0,-0.012016930432181473,0.012016930432181473,0.003957680460780013
0.5,0.025,0.012983069567818509,0.012016930432181492,0.026008233845156867
0.5,0.05,0.0379830695678185,0.012016930432181501,0.046962811511772576
0.5,0.075,0.06298306956781873,0.012016930432181272,0.06564070845120336
0.5,0.1,0.08798306956781846,0.01201693043218155,0.08163350254352353
0.5,0.125,0.11298306956781842,0.012016930432181577,0.09556743492480628
0.5,0.15,0.13798306956781894,0.01201693043218105,0.10865569889339098
0.5,0.175,0.16298306956781883,0.012016930432181161,0.12168223536193296
0.5,0.2,0.1879830695678184,0.012016930432181605,0.1342337061625118
0.5,0.225,0.21298306956781873,0.012016930432181272,0.14516862802298752
0.5,0.25,0.23798306956781834,0.01201693043218166,0.15429526645722857
0.5,0.275,0.26298306956781825,0.012016930432181772,0.1636093869881322
0.5,0.3,0.2879830695678194,0.012016930432180606,0.176025724357006
0.5,0.325,0.3129830695678175,0.012016930432182493,0.1919177725322923
0.5,0.35,0.3379830695678191,0.012016930432180883,0.20752398012014844
0.5,0.375,0.3629830695678189,0.012016930432181105,0.218257033150316
0.5,0.4,0.38798306956781825,0.012016930432181772,0.22308568447011032
0.5,0.425,0.4129830695678189,0.012016930432181105,0.22423708987912658
0.5,0.45,0.4379830695678189,0.012016930432181105,0.22342005636355836
0.5,0.475,0.4629830695678195,0.012016930432180495,0.2198874843208453
0.5,0.5,0.4879830695678181,0.012016930432181883,0.2123038739589493
