design,samples_per_symbol,symbol_count,desired_seed,adjacent_seed,trim,tap_count,rolloff,desired_normalized_cfo,channel_spacing,block_symbols,loop_gain,tail_block_count,settle_threshold,adjacent_enabled,adjacent_relative_power_db,orientation_sign,isolated_central_slope_wrt_deltaf_over_Rs,final_residual_cfo,tail_mean_abs_residual_cfo,tail_peak_abs_residual_cfo,tail_within_threshold_fraction,tail_mean_abs_detector_output
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.2,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.006527284871622415,0.005873226755854369,0.006527284871622415,1.0,0.009982733279562605
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.2,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.063383622729029,0.05695979012453376,0.063383622729029,0.0,0.0918851934285361
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.21,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.005288009340088026,0.004718840776733021,0.005288009340088026,1.0,0.007442305605090329
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.21,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.05990297417490122,0.05385251635431327,0.05990297417490122,0.25,0.08609919708797757
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.22,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.004402000978791993,0.004070031300050192,0.004402000978791993,1.0,0.005166539397734658
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.22,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.05632667940045092,0.050789216802011226,0.05632667940045092,0.375,0.08010102030121886
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.23,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0035973260449246244,0.0032938073150920247,0.0035973260449246244,1.0,0.005129558727388549
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.23,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.05292941352669939,0.0476789990909382,0.05292941352669939,0.625,0.07627072570265084
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.003090401038775777,0.0028294856491181113,0.003090401038775777,1.0,0.0033739077436617314
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.24,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.04962776345954017,0.04474585626270431,0.04962776345954017,1.0,0.07046806977255317
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.25,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0023804034661289576,0.0021518744891780295,0.0023804034661289576,1.0,0.002736992333234018
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.25,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.046330829300702904,0.04182491147537468,0.046330829300702904,1.0,0.0658084190909705
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.26,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.001821192153328166,0.0016453076871148094,0.001821192153328166,1.0,0.0019521627975429142
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.26,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.04282859627363301,0.03867081007495157,0.04282859627363301,1.0,0.06114829898243538
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.27,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0013903705844364371,0.001240350475794742,0.0013903705844364371,1.0,0.0017083766244946313
gnuradio_half_sine,4,3072,19,173,96,63,0.35,0.0,1.27,96,0.02,8,0.05,True,0.0,1.0,1.0045124738902753,0.039736276256749935,0.035947723481068596,0.039736276256749935,1.0,0.055889596347063975
proxy_bandpass,4,3072,19,173,96,63,0.35,0.0,1.28,96,0.02,8,0.05,True,0.0,-1.0,0.7419663859132712,0.0010313538938465827,0.0009141521685267274,0.0010313538938465827,1.0,0.0015789225975479137
